Designator,Footprint,Quantity,Value,LCSC Part #
A1,Electrosmith_Daisy_Seed,1,Electrosmith_Daisy_Seed_Rev4,
"C1, C2, C31, C34, C35, C36, C37, C38, C39, C40, C41",1206,11,100nF_0603_16V,
"C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C3, C30, C4, C5, C6, C7, C8, C9",1206,28,C_Generic,
C32,1206,1,10uF,
C33,CP_Radial_D6.3mm_P2.50mm,1,100uF_25V,
"D1, D10, D11, D12, D13, D23, D24, D25, D26, D27, D28, D29",D_SOD-123,12,1N4148,
"D14, D15, D16, D17, D18, D19, D20, D21, D22, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D57, D58, D59, D6, D60, D61, D62, D63, D64, D65, D7, D8, D9",0603,52,LED,
D2,D_SOD-123,1,1N5817,
F1,1812,1,1A_15V,
J1,Jack_3.5mm_CUI_SJ1-3525N_Horizontal,1,MIDI IN,
J10,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,1,PLSR_OUTPUT2,
J11,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,1,PLSR_OUTPUT3,
J12,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,1,RNDM_OUTPUT1,
J13,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,1,RNDM_OUTPUT2,
J14,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,1,RNDM_OUTPUT3,
J15,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,1,PLSR_PERIODCTRL,
J16,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,1,MODOSC_FREQCTRL,
J17,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,1,MODOSC_MODCTRL,
J18,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,1,COMPOSC_PITCHCTRL,
J19,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,1,COMPOSC_WAVEFOLDERCTRL,
J2,Jack_3.5mm_CUI_SJ1-3525N_Horizontal,1,STEREO_OUTPUT,
J20,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,1,LPG_LEVEL1CTRL,
J21,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,1,LPG_LEVEL2CTRL,
J22,BarrelJack_GCT_DCJ200-10-A_Horizontal,1,Jack-DC,
J3,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,1,SEQ_OUTPUT1,
J4,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,1,SEQ_OUTPUT2,
J5,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,1,SEQ_OUTPUT3,
J6,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,1,EG_OUTPUT1,
J7,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,1,EG_OUTPUT2,
J8,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,1,EG_OUTPUT3,
J9,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,1,PLSR_OUTPUT1,
R1,R_0603,1,220R,
"R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R20, R21, R22, R23, R24, R25, R26, R27, R4, R5, R6, R7, R8, R9",R_0603,24,10k_0402,
R2,R_0603,1,470R,
R3,R_0603,1,1k,
RV1,Potentiometer_Bourns_PTA2043_Single_Slide,1,SQ_Step1,
RV10,Potentiometer_Bourns_PTA2043_Single_Slide,1,PLSR_PERIOD,
RV11,Potentiometer_Bourns_PTA2043_Single_Slide,1,MODOSC_FREQCTRL,
RV12,Potentiometer_Bourns_PTA2043_Single_Slide,1,MODOSC_FREQ,
RV13,Potentiometer_Bourns_PTA2043_Single_Slide,1,MODOSC_MODULATIONCTRL,
RV14,Potentiometer_Bourns_PTA2043_Single_Slide,1,MODOSC_MODULATION,
RV15,Potentiometer_RV09,1,MODOSC_FINE,
RV16,Potentiometer_Bourns_PTA2043_Single_Slide,1,COMPLEXOSC_FREQCTRL,
RV17,Potentiometer_Bourns_PTA2043_Single_Slide,1,COMPLEXOSC_FREQ,
RV18,Potentiometer_RV09,1,COMPLEXOSC_FINE,
RV19,Potentiometer_Bourns_PTA2043_Single_Slide,1,COMPLEXOSC_WAVEFOLDERCTRL,
RV2,Potentiometer_Bourns_PTA2043_Single_Slide,1,SQ_Step2,
RV20,Potentiometer_Bourns_PTA2043_Single_Slide,1,COMPLEXOSC_WAVEFOLDER,
RV21,Potentiometer_RV09,1,COMPLEXOSC_TIMBRE,
RV22,Potentiometer_Bourns_PTA2043_Single_Slide,1,LPG_LEVEL1CTRL,
RV23,Potentiometer_Bourns_PTA2043_Single_Slide,1,LPG_LEVEL1,
RV24,Potentiometer_Bourns_PTA2043_Single_Slide,1,LPG_LEVEL2CTRL,
RV25,Potentiometer_Bourns_PTA2043_Single_Slide,1,LPG_LEVEL2,
RV26,Potentiometer_RV09,1,CLOCK,
RV27,Potentiometer_RV09,1,REVERB_MIX,
RV28,Potentiometer_RV09,1,MASTER,
RV3,Potentiometer_Bourns_PTA2043_Single_Slide,1,SQ_Step3,
RV4,Potentiometer_Bourns_PTA2043_Single_Slide,1,SQ_Step4,
RV5,Potentiometer_Bourns_PTA2043_Single_Slide,1,SQ_Step5,
RV6,Potentiometer_Bourns_PTA2043_Single_Slide,1,EG_ATTACK,
RV7,Potentiometer_Bourns_PTA2043_Single_Slide,1,EG_SUSTAIN,
RV8,Potentiometer_Bourns_PTA2043_Single_Slide,1,EG_DECAY,
RV9,Potentiometer_Bourns_PTA2043_Single_Slide,1,PLSR_PERIODCTRL,
SW1,SW_PUSH_6mm_H13mm,1,SEQ_TRIGGERSELECT,
SW10,SW_PUSH_6mm_H13mm,1,COMPLEXOSC_POLARITY,
SW11,SW_PUSH_6mm_H13mm,1,COMPLEXOSC_WAVETOGGLE,
SW12,SW_PUSH_6mm_H13mm,1,LPG_GATE1MODE,
