Designator,Mid X,Mid Y,Rotation,Layer
C1,105.6,-127.75,180.0,top
C10,251.85,-114.5,180.0,top
C11,271.85,-114.5,180.0,top
C12,293.6,-111.1875,90.0,top
C13,153.1,-175.5625,90.0,top
C14,165.6,-177.6875,90.0,top
C15,192.9125,-139.5,180.0,top
C16,181.85,-179.5,180.0,top
C17,194.35,-179.5,180.0,top
C18,226.85,-179.5,180.0,top
C19,239.35,-179.5,180.0,top
C2,106.51,-158.0,180.0,top
C20,225.35,-139.5,180.0,top
C21,251.85,-179.5,180.0,top
C22,264.4125,-179.5,180.0,top
C23,262.9125,-139.5,180.0,top
C24,300.35,-110.75,90.0,top
C25,316.7875,-114.5,180.0,top
C26,329.2875,-114.5,180.0,top
C27,341.7875,-114.5,180.0,top
C28,336.35,-136.8125,270.0,top
C29,343.1,-169.5,180.0,top
C3,152.85,-112.0,90.0,top
C30,342.6625,-201.5,180.0,top
C31,103.85,-38.5,270.0,top
C32,101.1,-38.5,90.0,top
C33,109.1,-38.25,90.0,top
C34,133.5,-73.4375,0.0,top
C35,233.9125,-62.4,90.0,top
C36,61.735,-146.774999,90.0,top
C37,61.735,-131.75,90.0,top
C38,61.735,-116.75,90.0,top
C39,61.734999,-101.975,90.0,top
C4,173.85,-114.25,0.0,top
C40,212.1625,-164.125,0.0,top
C41,318.612497,-147.175,0.0,top
C5,181.1,-114.25,180.0,top
C6,194.1,-114.5,180.0,top
C7,206.85,-114.5,180.0,top
C8,222.85,-111.75,90.0,top
C9,239.35,-114.5,180.0,top
D1,130.75,-49.25,180.0,top
D10,101.35,-77.5,180.0,top
D11,101.35,-72.5,180.0,top
D12,101.35,-75.0,180.0,top
D13,101.35,-70.0,180.0,top
D14,178.65,-75.4,0.0,top
D15,191.2,-75.4,0.0,top
D16,203.7,-75.4,0.0,top
D17,216.2,-75.4,0.0,top
D18,224.18385,-48.85,0.0,top
D19,224.18385,-50.55,0.0,top
D2,114.6,-53.0,0.0,top
D20,224.18385,-52.25,0.0,top
D21,224.2,-66.61,0.0,top
D22,224.2,-68.3,0.0,top
D23,76.85,-150.35,270.0,top
D24,79.35,-150.4,270.0,top
D25,81.85,-150.4,270.0,top
D26,84.35,-150.4,270.0,top
D27,66.35,-157.9,270.0,top
D28,68.85,-157.9,270.0,top
D29,71.35,-157.9,270.0,top
D3,168.9,-48.9,0.0,top
D30,224.2,-70.01,0.0,top
D31,254.3,-58.5,0.0,top
D32,267.9,-48.9,0.0,top
D33,267.9,-50.6,0.0,top
D34,267.9,-52.3,0.0,top
D35,267.9,-66.1,0.0,top
D36,267.9,-69.3,0.0,top
D37,286.9,-58.5,0.0,top
D38,302.1,-56.8,0.0,top
D39,302.1,-58.5,0.0,top
D4,168.9,-50.6,0.0,top
D40,302.1,-60.2,0.0,top
D41,319.6,-66.0,0.0,top
D42,347.1,-56.8,0.0,top
D43,347.1,-58.5,0.0,top
